tri0.3 keep 0.0  norm off: growth rate +0.632/step (directions: +0.868, +0.475, +0.553); run 39 committed +0.694; window 5-9, final 3.9e-01 | window 5-12, final 3.7e-01 | window 5-13, final 3.8e-01
tri0.3 keep 0.25 norm off: growth rate +0.421/step (directions: +0.409, +0.423, +0.430); run 39 committed +0.403; window 5-22, final 3.2e-01 | window 5-22, final 2.5e-01 | window 5-22, final 2.8e-01
tri0.3 keep 0.5  norm off: growth rate +0.416/step (directions: +0.336, +0.380, +0.531); run 39 committed +0.084; window 5-29, final 2.5e-01 | window 5-29, final 2.9e-01 | window 5-22, final 2.5e-01
tri0.3 keep 0.75 norm off: growth rate +0.110/step (directions: +0.105, +0.116, +0.110); run 39 committed -0.261; window 5-84, final 2.7e-01 | window 5-83, final 2.7e-01 | window 5-83, final 2.6e-01
tri0.3 keep 0.9  norm off: growth rate +0.033/step (directions: +0.038, +0.026, +0.035); run 39 committed -0.342; window 5-271, final 2.2e-01 | window 5-361, final 2.2e-01 | window 5-276, final 2.2e-01
tri0.3 keep 0.0  norm on : growth rate +0.459/step (directions: +0.430, +0.444, +0.504); run 39 committed +0.704; window 5-14, final 4.1e-01 | window 5-16, final 4.3e-01 | window 5-16, final 4.4e-01
tri0.3 keep 0.25 norm on : growth rate +0.385/step (directions: +0.380, +0.418, +0.357); run 39 committed +0.418; window 5-22, final 3.5e-01 | window 5-19, final 3.3e-01 | window 5-18, final 3.2e-01
tri0.3 keep 0.5  norm on : growth rate +0.225/step (directions: +0.202, +0.230, +0.244); run 39 committed -0.002; window 5-38, final 3.2e-01 | window 5-38, final 3.6e-01 | window 5-38, final 3.7e-01
tri0.3 keep 0.75 norm on : growth rate +0.150/step (directions: +0.147, +0.156, +0.147); run 39 committed -0.690; window 5-69, final 2.6e-01 | window 5-70, final 2.9e-01 | window 5-73, final 2.8e-01
tri0.3 keep 0.9  norm on : growth rate +0.052/step (directions: +0.047, +0.037, +0.071); run 39 committed -1.606; window 5-202, final 3.0e-01 | window 5-259, final 2.7e-01 | window 5-155, final 2.8e-01
sign   keep 0.0  norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
sign   keep 0.25 norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window 5-6, distance exactly 0 from step 7, final 0.0e+00 | window 5-5, distance exactly 0 from step 6, final 0.0e+00 | window 5-5, distance exactly 0 from step 6, final 0.0e+00
sign   keep 0.5  norm off: growth rate -0.280/step (directions: -0.297, -0.247, -0.296); run 39 committed +nan; window 5-16, distance exactly 0 from step 17, final 0.0e+00 | window 5-19, distance exactly 0 from step 20, final 0.0e+00 | window 5-16, distance exactly 0 from step 17, final 0.0e+00
sign   keep 0.75 norm off: growth rate -0.172/step (directions: -0.169, -0.163, -0.185); run 39 committed +nan; window 5-31, distance exactly 0 from step 32, final 0.0e+00 | window 5-37, distance exactly 0 from step 38, final 0.0e+00 | window 5-34, distance exactly 0 from step 35, final 0.0e+00
