tri0.3 keep 0.0  norm off: growth rate +nan/step (directions: none in window); run 39 committed +0.694; window 5-9, final 3.9e-01 | window 5-12, final 3.7e-01 | window 5-13, final 3.8e-01
tri0.3 keep 0.25 norm off: growth rate +0.427/step (directions: +0.412, +0.419, +0.449); run 39 committed +0.403; window 5-22, final 3.3e-01 | window 5-22, final 2.7e-01 | window 5-22, final 2.4e-01
tri0.3 keep 0.5  norm off: growth rate +0.393/step (directions: +0.311, +0.335, +0.532); run 39 committed +0.084; window 5-30, final 3.2e-01 | window 5-31, final 3.1e-01 | window 5-22, final 2.8e-01
tri0.3 keep 0.75 norm off: growth rate +0.106/step (directions: +0.112, +0.102, +0.104); run 39 committed -0.261; window 5-83, final 2.9e-01 | window 5-94, final 2.2e-01 | window 5-97, final 2.7e-01
tri0.3 keep 0.9  norm off: growth rate +0.039/step (directions: +0.043, +0.034, +0.040); run 39 committed -0.342; window 5-246, final 2.0e-01 | window 5-352, final 2.4e-01 | window 5-290, final 2.2e-01
tri0.3 keep 0.0  norm on : growth rate +0.459/step (directions: +0.430, +0.444, +0.504); run 39 committed +0.704; window 5-14, final 4.1e-01 | window 5-16, final 4.3e-01 | window 5-16, final 4.4e-01
tri0.3 keep 0.25 norm on : growth rate +0.327/step (directions: +0.218, +0.381, +0.383); run 39 committed +0.418; window 5-31, final 3.4e-01 | window 5-22, final 3.6e-01 | window 5-19, final 3.3e-01
tri0.3 keep 0.5  norm on : growth rate +0.232/step (directions: +0.209, +0.242, +0.244); run 39 committed -0.002; window 5-38, final 3.4e-01 | window 5-38, final 3.2e-01 | window 5-38, final 3.0e-01
tri0.3 keep 0.75 norm on : growth rate +0.161/step (directions: +0.155, +0.158, +0.169); run 39 committed -0.690; window 5-75, final 3.9e-01 | window 5-73, final 2.9e-01 | window 5-73, final 2.4e-01
tri0.3 keep 0.9  norm on : growth rate +0.045/step (directions: +0.049, +0.036, +0.050); run 39 committed -1.606; window 5-197, final 3.1e-01 | window 5-284, final 2.1e-01 | window 5-215, final 3.3e-01
sign   keep 0.0  norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
sign   keep 0.25 norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
sign   keep 0.5  norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
sign   keep 0.75 norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
sign   keep 0.9  norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
sign   keep 0.0  norm on : growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
sign   keep 0.25 norm on : growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
sign   keep 0.5  norm on : growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
sign   keep 0.75 norm on : growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
sign   keep 0.9  norm on : growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
wta    keep 0.0  norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
wta    keep 0.25 norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
wta    keep 0.5  norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
wta    keep 0.75 norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
wta    keep 0.9  norm off: growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
wta    keep 0.0  norm on : growth rate +nan/step (directions: none in window); run 39 committed +nan; window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00 | window ---, distance exactly 0 from step 0, final 0.0e+00
