  series 1/6
  series 2/6
  series 3/6
  series 4/6
  series 5/6
  series 6/6

fan3 conflict-visibility (hit = col-switch pairs opened within 400; rates per 1k col-steps):
   k  dwell  cal |  fan3 hit% fan3 false twin hit% twin rate
 2.0     10  200 |       3.9%       0.03      0.0%      0.00
 2.0     10  300 |       3.9%       0.03      0.0%      0.00
 2.0     25  200 |       1.2%       0.01      0.0%      0.00
 2.0     25  300 |       1.2%       0.01      0.0%      0.00
 2.0     50  200 |       0.3%       0.00      0.0%      0.00
 2.0     50  300 |       0.3%       0.00      0.0%      0.00
 3.0     10  200 |       3.3%       0.02      0.0%      0.00
 3.0     10  300 |       3.4%       0.02      0.0%      0.00
 3.0     25  200 |       1.2%       0.01      0.0%      0.00
 3.0     25  300 |       1.2%       0.01      0.0%      0.00
 3.0     50  200 |       0.1%       0.00      0.0%      0.00
 3.0     50  300 |       0.1%       0.00      0.0%      0.00
 4.0     10  200 |       3.1%       0.02      0.0%      0.00
 4.0     10  300 |       3.1%       0.02      0.0%      0.00
 4.0     25  200 |       1.2%       0.01      0.0%      0.00
 4.0     25  300 |       1.2%       0.01      0.0%      0.00
 4.0     50  200 |       0.1%       0.00      0.0%      0.00
 4.0     50  300 |       0.1%       0.00      0.0%      0.00

headline (cal20-chosen cell): fan3 hit 3.3% (faithful read ~0%, feedforward 87%), false 0.02/1k, twin 0.00/1k
recorded: vis21
